Old Family #,Family Name,Looked at?,Subproblem,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,DOI,Authors,Number of Authors,Title,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Notes or Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,Intractable
23,Sequence Alignment,2,,Edit sequence,253,,,1,1,$O(mn)$,^see above,^see above,[https://dl.acm.org/doi/10.1145/360825.360861 Hirschberg's algorithm (1975)],Hirschberg's algorithm,1975,https://dl.acm.org/doi/10.1145/360825.360861,10.1145/360825.360861,['D. S. Hirschberg'],1,['A linear space algorithm for computing maximal common subsequences'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,3,"n: 3,
m: 1,
m+n: 3",$O(n)$,https://dl.acm.org/doi/10.1145/360825.360861,0,1,,0,,0,,0,0,,0,0,,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",1000,2.981071706,1000000,14.84893192,1000000000,62.09573445,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
23,Sequence Alignment,2,,"Edit sequence, local alignment",254,,,1,1,$O(mn)$,^see above,^see above,[https://www.ncbi.nlm.nih.gov/pubmed/2983426 FASTA (1985)],FASTA,1985,https://www.ncbi.nlm.nih.gov/pubmed/2983426,10.1126/science.2983426,"['David J. Lipman', 'William R. Pearson']",2,['Rapid and Sensitive Protein Similarity Searches'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,"Uses an $m\times n$ array, whose contents are of size $O(1)$",1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/FASTA,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",,,,,,,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
23,Sequence Alignment,2,,"Edit sequence, local alignment",255,,,1,1,$O(mn)$,^see above,^see above,[https://www.sciencedirect.com/science/article/pii/0022283682903989 Gotoh (1982)],Gotoh,1982,https://www.sciencedirect.com/science/article/pii/0022283682903989,,['Osamu Gotoh'],1,['An improved algorithm for matching biological sequences'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,"Uses a constant number of $m\times n$ arrays, whose contents are of size $O(1)$",1,0,,0,,0,,0,0,,0,0,,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",,,,,,,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
23,Sequence Alignment,2,,"Edit sequence, local alignment",256,,,1,1,$O(mn)$,^see above,^see above,[https://link.springer.com/article/10.1007/BF02462326 Altschul and Erickson (1986)],Altschul and Erickson,1986,https://link.springer.com/article/10.1007/BF02462326,10.1007/BF02462326,"['Stephen F. Altschul', 'Bruce W. Erickson']",2,['Optimal sequence alignment using affine gap costs'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,"Uses a constant number of $m\times n$ arrays, whose contents are of size $O(1)$",1,0,,0,,0,,0,0,,0,0,,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",,,,,,,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
23,Sequence Alignment,2,,"Edit sequence, local alignment",257,,,1,1,$O(mn)$,^see above,^see above,[https://academic.oup.com/bioinformatics/article/4/1/11/205106?login=true Myers and Miller (1988)],Myers and Miller,1988,https://academic.oup.com/bioinformatics/article/4/1/11/205106?login=true,10.1093/bioinformatics/4.1.11,"['Eugene W. Myers', 'Webb Miller']",2,['Optimal alignments in linear space'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,3,"n: 3,
m: 2,
m+n: 3",$O(n+\log m)$,https://academic.oup.com/bioinformatics/article/4/1/11/205106?login=true,0,1,,0,,0,,0,0,,0,0,,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",,,,,,,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
23,Sequence Alignment,2,,"Edit sequence, global alignment",260,,,1,1,$O(mn)$,^see above,^see above,[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC427531/ David Sankoff (1972)],David Sankoff,1972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC427531/,10.1073/pnas.69.1.4,['David Sankoff'],1,['Matching Sequences under Deletion/Insertion Constraints'],,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,20,"$n$, $m$: lengths of input strings; assume $n\geq m$",m+n,,,Word RAM,words,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,"Uses a constant number of $m\times n$ arrays, whose contents are of size $O(1)$",1,0,,0,,0,,0,0,,0,0,,"a sequence alignment is a way of arranging the sequences of DNA; RNA;
 or protein to identify regions of similarity that may be a consequence of functional;
 structural; or evolutionary relationships between the sequences.",,,"n:m
1:1",,,,,,,250000,1,,,,,,,,4,,,Bioinformatics,FALSE
25,Line Clipping,2,,Rectangular Window,265,,,1,1,$O(n)$,Any distribution (runtime is same regardless of input),(same behavior across all inputs),[https://books.google.com/books/about/Principles_of_interactive_computer_graph.html?id=inJ8AAAAIAAJ Cohen–Sutherland (1967)],Cohen–Sutherland,1967,https://books.google.com/books/about/Principles_of_interactive_computer_graph.html?id=inJ8AAAAIAAJ,,"['William M. Newman', 'Robert F. Sproull']",2,['Principles of Interactive Computer Graphics'],1,1,https://www.geeksforgeeks.org/line-clipping-set-1-cohen-sutherland-algorithm/,1,0,3,n: 3,$O(n)$,10,$n$: number of lines,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"Easily derived ($O(1)$ per segment, space can be re-used)",1,0,,0,,0,,0,0,,0,0,,"line clipping is the process of removing lines or portions of lines outside an area
 of interest. Typically; any line or part thereof which is outside of the viewing
 area is removed.",,,,,,,,,,1000,1,,1000000,1,,1000000000,1,,6,,,Image Processing,FALSE
25,Line Clipping,2,,Rectangular Window,266,,,1,1,$O(n)$,^ see above,^ see above,[https://dl.acm.org/doi/10.1145/357332.357333 Liang–Barsky (1984)],Liang–Barsky,1984,https://dl.acm.org/doi/10.1145/357332.357333,10.1145/357332.357333,"['You-Dong Liang', 'B. A. Barsky']",2,['A New Concept and Method for Line Clipping'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of lines,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"Easily derived ($O(1)$ per segment, space can be re-used)",1,0,,0,,0,,0,0,,0,0,,"line clipping is the process of removing lines or portions of lines outside an area
 of interest. Typically; any line or part thereof which is outside of the viewing
 area is removed.",,,,,,,,,,1000,1,,,,,,,,6,,,Image Processing,FALSE
25,Line Clipping,2,Convex Polygonal Window,Convex Polygonal Window; Convex Polyhedral window,267,,,1,1,$O(np)$,^ see above,^ see above,[https://www.sciencedirect.com/science/article/pii/0097849378900213 Cyrus–Beck (1978)],Cyrus–Beck,1978,https://www.sciencedirect.com/science/article/pii/0097849378900213,,"['Mike Cyrus', 'Jay Beck']",2,['Generalized two- and three-dimensional clipping'],,,,0,0,3,"n: 3,
p: 3",$O(np)$,,"$n$: number of lines
$p$: number of edges/faces on polygon/polyhedron",n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"Easily derived? ($O(1)$ per segment, space can be re-used)",1,0,,0,,0,,0,0,,0,0,,"line clipping is the process of removing lines or portions of lines outside an area
 of interest. Typically; any line or part thereof which is outside of the viewing
 area is removed.",,,,,,,,,,1000,1,,,,,,,,6,,,Image Processing,FALSE
25,Line Clipping,2,,Rectangular Window,268,,,1,1,$O(n)$,^ see above,^ see above,[https://dl.acm.org/doi/10.1145/37401.37432 Nicholl–Lee–Nicholl (1987)],Nicholl–Lee–Nicholl,1987,https://dl.acm.org/doi/10.1145/37401.37432,10.1145/37401.37432,"['Tina M. Nicholl', 'D. T. Lee', 'Robin A. Nicholl']",3,['An efficient new algorithm for 2-D line clipping: Its development and analysis'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of lines,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"Easily derived ($O(1)$ per segment, space can be re-used)",1,0,,0,,0,,0,0,,0,0,https://www.cs.drexel.edu/~david/Classes/Talks/McCurdyPresentation.pdf,"line clipping is the process of removing lines or portions of lines outside an area
 of interest. Typically; any line or part thereof which is outside of the viewing
 area is removed.",,,,,,,,,,1000,1,,,,,,,,6,,,Image Processing,FALSE
25,Line Clipping,2,,Rectangular Window,269,,,1,1,$O(n)$,^ see above,^ see above,[https://www.sciencedirect.com/science/article/pii/0097849387900616 Fast clipping (1987)],Fast clipping,1987,https://www.sciencedirect.com/science/article/pii/0097849387900616,,"['Mark S. Sobkow', 'Paul Pospisil', 'Yee-Hong Yang']",3,['A fast two-dimensional line clipping algorithm via line encoding'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of lines,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"Easily derived ($O(1)$ per segment, space can be re-used)",1,0,,0,,0,,0,0,,0,0,,"line clipping is the process of removing lines or portions of lines outside an area
 of interest. Typically; any line or part thereof which is outside of the viewing
 area is removed.",,,,,,,,,,1000,1,,,,,,,,6,,,Image Processing,FALSE
26,NFA to DFA conversion,2,,,272,,,1,1,$O(2^n)$,,,[https://ieeexplore.ieee.org/document/5392601 Rabin–Scott powerset construction (1959)],Rabin–Scott powerset construction,1959,https://ieeexplore.ieee.org/document/5392601,10.1147/rd.32.0114,"['M. O. Rabin', 'D. Scott']",2,['Finite Automata and Their Decision Problems'],1,1,http://www.cs.nuim.ie/~jpower/Courses/Previous/parsing/node9.html,1,0,8,n: 8,$O(2^n)$,,$n$: number of states,n,,,,,1,n: 1,$O(1)$,"Derived: besides the $O(2^n)$ output nodes and the $O(n)$ input nodes, there's nothing to store",1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics,TRUE
27,Multiplication,2,Multiplication,Multiplication,273,,,1,1,$O(n^{1.58})$,Any distribution (runtime is same regardless of input),(same behavior across all inputs),[http://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=dan&paperid=26729&option_lang=eng Karatsuba Algorithm (1962)],Karatsuba Algorithm,1962,http://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=dan&paperid=26729&option_lang=eng,,"['A. Karatsuba', 'Yu. Ofman']",2,['Multiplication of many-digital numbers by automatic computers'],,,,1,0,4.58,n: 4.58,$O(n^{1.58})$,16.27,"$n$: length of one of the integers, in bits",n,,,Word RAM?,bits,3,n: 3,$O(n)$,Re-use space across recursive subcalls (to obtain the recursion $S(n) = S(n/2)+O(n)$),1,0,,0,,0,,0,0,,0,0,,"Multiplication is one of the four elementary mathematical operations of arithmetic;
with the others being addition; subtraction and division.",,,O(log*n) = 12,,,,,,,54954.08739,18.19700859,0.1409660639,3019951720,331.1311215,0.3018035591,165958690743756,6025.595861,0.4853136828,4,,,Numerical Analysis,FALSE
27,Multiplication,2,Multiplication,Multiplication,274,,,1,1,$O(n^{1.46})$,^see above,^see above,[https://www.ams.org/journals/tran/1969-142-00/S0002-9947-1969-0249212-8/S0002-9947-1969-0249212-8.pdf Toom-3 (1969)],Toom-3,1969,https://www.ams.org/journals/tran/1969-142-00/S0002-9947-1969-0249212-8/S0002-9947-1969-0249212-8.pdf,,"['STEPHEN A. COOK', 'STÂL O. AANDERAA']",2,['ON THE MINIMUM COMPUTATION TIME OF FUNCTIONS'],,,,1,0,4.46,n: 4.46,$O(n^{1.46})$,15.7,"$n$: length of one of the integers, in bits",n,,,Word RAM?,bits,3,n: 3,$O(n)$,Re-use space across recursive subcalls (to obtain the recursion $S(n) = S(n/3)+O(n)$),1,0,,0,,0,,0,0,,0,0,,"Multiplication is one of the four elementary mathematical operations of arithmetic;
with the others being addition; subtraction and division.",,,O(log*n) = 12,,,,,,,23988,41.68751042,0.1372665733,19952623.15,50118.72336,0.4523422297,19952623.15,50118723363,1.338651544,4,,,Numerical Analysis,FALSE
27,Multiplication,2,Multiplication,Multiplication,275,,,1,1,$O(n^2)$,^see above,^see above,[ Long Multiplication (1940)],Long Multiplication,1940,,,[],0,,1,1,https://en.wikipedia.org/wiki/Multiplication_algorithm,1,0,5,n: 5,$O(n^2)$,20,"$n$: length of one of the integers, in bits",n,,,Word RAM?,bits,3,n: 3,$O(n)$,Easily derived (needed for intermediate results),1,0,,0,,0,,0,0,,0,0,,"Multiplication is one of the four elementary mathematical operations of arithmetic;
with the others being addition; subtraction and division.",,,O(log*n) = 12,,,,,,,1000000,1,,1000000000000,1,,1E+18,1,,4,,,Numerical Analysis,FALSE
46,Line Simplification,2,,,391,,0,0,1,$O(n^2)$,,,[https://www.sciencedirect.com/science/article/abs/pii/S0146664X72800170 Ramer–Douglas–Peucker algorithm (1972)],Ramer–Douglas–Peucker algorithm,1972,https://www.sciencedirect.com/science/article/abs/pii/S0146664X72800170,,['Urs Ramer'],1,['An iterative procedure for the polygonal approximation of plane curves'],,,,0,0,5,n: 5,$O(n^2)$,20,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,3,n: 3,$O(n)$,"Derived: Recursive algorithm that has a worst-case recursion tree depth of $O(n)$, and $O(1)$ info stored per level",1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,1000000,,,,,,,,,4,,,Image Processing,FALSE
46,Line Simplification,2,,,392,,0,0,1,$O(n^2)$,,,[https://hull-repository.worktribe.com/output/459275 Visvalingam–Whyatt (1993)],Visvalingam–Whyatt,1993,https://hull-repository.worktribe.com/output/459275,,"['Maheswari Visvalingam', 'James Duncan Whyatt']",2,['Line generalisation by repeated elimination of the smallest area'],,,,0,0,5,n: 5,$O(n^2)$,20,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,3,n: 3,$O(n)$,Derived: Storing each points effective area,1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,1000000,,,,,,,,,4,,,Image Processing,FALSE
46,Line Simplification,2,,,393,,0,0,1,$O(n)$,,,[ Reumann–Witkam (1974)],Reumann–Witkam,1974,,,[],0,,,,,0,0,3,n: 3,$O(n)$,10,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,1,n: 1,$O(1)$,Derived: The only auxiliary space used is the current search line and the distance from the next point to the line.,1,0,,0,,0,,0,0,,0,0,http://psimpl.sourceforge.net/reumann-witkam.html,,,,,,,,,,,1000,,,,,,,,,4,,,Image Processing,FALSE
46,Line Simplification,2,,,394,,0,0,1,$O(n)$,,,[http://dx.doi.org/10.2312/eg.19811012 Opheim simplification (1981)],Opheim simplification,1981,http://dx.doi.org/10.2312/eg.19811012,10.2312/eg.19811012,['Harald Opheim'],1,['SMOOTHING A DIGITIZED CURVE BY DATA REDUCTION METHODS'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,1,n: 1,$O(1)$,"Derived: The only auxiliary space used is the current search ray and the current best, the distances from the next point to the ray and to the ray's origin, candidate point to stay in the simplified line",1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,4,,,Image Processing,FALSE
46,Line Simplification,2,,,395,,0,0,1,$O(n)$,,,[- Lang simplification (1969)],Lang simplification,1969,-,,[],0,,,,,1,0,3,n: 3,$O(n)$,10,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,1,n: 1,$O(1)$,"Derived: The only auxiliary space used is the current search line and the distance from a point in the search interval to the search line, which is all $O(1)$ space",1,0,,0,,0,,0,0,,0,0,http://koreascience.or.kr/article/JAKO201300763572495.page,,,,,,,,,,,1000,,,,,,,,,4,,,Image Processing,FALSE
46,Line Simplification,2,,,396,,0,0,1,$O(n)$,,,[https://citeseerx.ist.psu.edu/pdf/a38573231ae6ef54a1b6117bce64c408aa2c5e3d Zhao-Saalfeld (1997)],Zhao-Saalfeld,1997,https://citeseerx.ist.psu.edu/pdf/a38573231ae6ef54a1b6117bce64c408aa2c5e3d,,"['Zhiyuan Zhao', 'Alan Saalfeld']",2,['Linear-time sleeve-fitting polyline simplification algorithms'],,,,0,0,3,n: 3,$O(n)$,10,$n$: number of points ($n-1$ line segments),n,,,Real RAM,,3,n: 3,$O(n)$,Derived: There is an auxiliary sleeve set that is $O(n)$ size worst-case,1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,4,,,Image Processing,FALSE
49,Nearest Neighbor Search,2,k Nearest Neighbors Search,Nearest Neighbor Search (NNS),416,,,1,1,$O(n)$,,,[- Linear search (1940)],Linear search,1940,-,,[],0,,1,1,,1,0,3,n: 3,$O(n)$,10,$n$: number of elements,n,,,Real RAM,,1,n: 1,$O(1)$,Derived: Only ever storing the current shortest distance and the corresponding node,1,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,1000000,1,,1000000000000,1,,1E+18,1,,4,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,k Nearest Neighbors Search,Nearest Neighbor Search (NNS),417,,,1,1,"k-d Tree construction: $O(n \log n)$
NNS: $O(\log n)$","Beta distribution B(m, n). See paper for details",https://dl.acm.org/doi/pdf/10.1145/355744.355745,[https://dl.acm.org/doi/pdf/10.1145/355744.355745 k-d Tree (1975)],k-d Tree,1975,https://dl.acm.org/doi/pdf/10.1145/355744.355745,10.1145/355744.355745,"['Jerome H. Friedman', 'Jon Louis Bentley', 'Raphael Ari Finkel']",3,['An Algorithm for Finding Best Matches in Logarithmic Expected Time'],1,1,https://www.geeksforgeeks.org/k-dimensional-tree/,1,4->5,4,n: 4,"k-d Tree construction: $O(n \log n)$
NNS: $O(n)$",11,$n$: number of elements,n,,,Real RAM,,3,n: 3,$O(n)$,https://dl.acm.org/doi/pdf/10.1145/355744.355745,0,1,,0,,0,,0,0,,0,0,,,,,,,,,,,,9965,100.3512293,,19931568.57,50171.66594,,29897352854,33447777.3,,4,,,Combinatorics,FALSE
49,Nearest Neighbor Search,2,k Nearest Neighbors Search,Nearest Neighbor Search (NNS),418,,,1,1,"R-Tree construction: $O(n \log n)$
NNS: $O(\log n)$",,,[http://www-db.deis.unibo.it/courses/SI-LS/papers/Gut84.pdf R-tree (1984)],R-tree,1984,http://www-db.deis.unibo.it/courses/SI-LS/papers/Gut84.pdf,,['Antonin Guttman'],1,['R-TREES. A DYNAMIC INDEX STRUCTURE FOR SPATIAL SEARCHING'],,,,0,0,4,n: 4,"R-Tree construction: $O(n \log n)$
NNS: $O(n)$",11,$n$: number of elements,n,,,Real RAM,,2,n: 2,$O(\log n)$,"https://www.sciencedirect.com/science/article/pii/S1877050915019675, Table 2",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,9965,,,,,,,,,4,,,Combinatorics,FALSE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,541,,,1,1,$O(2^{(n/2)} n)$,,,[https://dl.acm.org/doi/10.1145/321812.321823 Horowitz and Sahni (1974)],Horowitz and Sahni,1974,https://dl.acm.org/doi/10.1145/321812.321823,10.1145/321812.321823,"['Ellis Horowitz', 'Sartaj Sahni']",2,['Computing Partitions with Applications to the Knapsack Problem'],,,,1,0,8,n: 8,$O(2^{(n/2)} n)$,988.1,$n$: the number of integers in the set,n,,,Word RAM,words,8,"n: 8,
t: 1",$O(2^{n/2})$,https://dl.acm.org/doi/10.1145/321812.321823,0,1,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Subset_sum_problem,,,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics,TRUE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,542,,,1,1,$O(nt)$,,,[https://onlinelibrary.wiley.com/doi/10.1002/nav.3800030107 Bellman dynamic programming algorithm (1956)],Bellman dynamic programming algorithm,1956,https://onlinelibrary.wiley.com/doi/10.1002/nav.3800030107,10.1002/nav.3800030107,['Richard Bellman'],1,['Notes on the theory of dynamic programming IV - Maximization over discrete sets'],,,,1,0,8,"n: 8,
t: 3",$O(nt)$,1010,"$n$: the number of integers in the set
$t$: the target sum",n,,,Word RAM,words,1,"n: 1,
t: 3",$O(t)$,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Subset_sum_problem,,,,,1,0.5399265261,1,1.371373706,1,2.651741273,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics,TRUE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,543,,,1,1,$O(n \max(S))$,,,[https://www.sciencedirect.com/science/article/abs/pii/S0196677499910349 Psinger (1999)],Psinger,1999,https://www.sciencedirect.com/science/article/abs/pii/S0196677499910349,,['David Pisinger'],1,['Linear Time Algorithms for Knapsack Problems with Bounded Weights'],,,,1,0,8,"n: 8,
max(S): 3",$O(n \max(S))$,1010,"$n$: the number of integers in the set
$\max(S)$: largest number in the set",n,,,Word RAM,words,1,"n: 1,
t: 3",$O(t)$,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,,,,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics,TRUE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,544,,,1,1,"$\tilde{O}(\min(\sqrt{n'}t, t^{5/4}, \sigma))$",,,[https://dl.acm.org/doi/pdf/10.1145/3329863 Koiliaris and Xu (2019)],Koiliaris and Xu,2019,https://dl.acm.org/doi/pdf/10.1145/3329863,10.1145/3329863,"['Konstantinos Koiliaris', 'Chao Xu']",2,['Faster Pseudopolynomial Time Algorithms for Subset Sum'],,,,1,0,8,"n: 8,
t: 4.25,
\sigma: 3","$\tilde{O}(\min(\sqrt{n'}t, t^{5/4}, \sigma))$",1045,"$n'$: the number of distinct elements in the set
$t$: the target sum
$\sigma$: sum of elements in the set",n,,,Word RAM,words,1,"n: 1,
t: 3",$O(t)$,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,1,,0,,0,,0,0,,0,0,,,,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics,TRUE
66,The Subset-Sum Problem,2,Subset Sum,Subset Sum,545,,,1,1,$\tilde{O}(nt^{1+\epsilon})$,,,[https://arxiv.org/abs/1610.04712 Bringman (2017)],Bringman,2017,https://arxiv.org/abs/1610.04712,,['Karl Bringmann'],1,['A Near-Linear Pseudopolynomial Time Algorithm for Subset Sum'],,,,1,0,8,"n: 8,
t: 4.01",$\tilde{O}(nt^{1+\epsilon})$,,"$n$: the number of integers in the set
$t$: the target sum
$\epsilon$: any positive constant",n,,,Word RAM,words,3,"n: 3,
t: 5?",$\tilde{O}(nt^{\epsilon})$,https://arxiv.org/abs/1610.04712,0,1,,1,Monte Carlo,1,$(n+t)^{-\Omega(1)}$ error,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics,TRUE
80,Maximum Subarray Problem,2,1D Maximum Subarray,1D Maximum Subarray,622,,,1,1,$O(n^3)$,"""Any distribution/runtime same regardless of input""",(same general behavior regardless of input),[- Brute Force (1977)],Brute Force,1977,-,,[],0,,1,1,,1,0,6,n: 6,$O(n^3)$,30,$n$: length of array,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"keep track of which subarray is being computed, along with current maximum",1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Maximum_subarray_problem,,,,,,,,,,,1000000000,1,,1E+18,1,,1E+27,1,,3,,,Combinatorics,FALSE
80,Maximum Subarray Problem,2,1D Maximum Subarray,1D Maximum Subarray,623,,,1,1,$O(n^2)$,^see above,^see above,[- Grenander (1977)],Grenander,1977,-,,[],0,,,,,1,3->4,5,n: 5,$O(n^2)$,20,$n$: length of array,n,,,Word/Real RAM,words,3,n: 3,$O(n)$,storing precomputed cumulative sums,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Maximum_subarray_problem,,,,,,,,,,,1000000,1000,0.2052609369,1000000000000,1000000,0.4526539259,1E+18,1000000000,0.7508270317,3,,1099511627776,Combinatorics,FALSE
80,Maximum Subarray Problem,2,1D Maximum Subarray,1D Maximum Subarray,623,,,1,1,$O(n^2)$,^see above,^see above,[https://dl.acm.org/doi/pdf/10.1145/358234.381162 Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]) (1977)],Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]),1977,https://dl.acm.org/doi/pdf/10.1145/358234.381162,10.1145/358234.381162,['Jon Bentley'],1,['Programming pearls'],,,,0,0,5,n: 5,$O(n^2)$,20,$n$: length of array,n,,,Word/Real RAM,words,1,n: 1,$O(1)$,"keep track of which subarray is being computed, along with current maximum",1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Maximum_subarray_problem,,,,,,,,,,,1000000,1000,,1000000000000,1000000,,1E+18,1000000000,,3,,1099511627776,Combinatorics,FALSE
80,Maximum Subarray Problem,2,1D Maximum Subarray,1D Maximum Subarray,624,,,1,1,$O(n \log n)$,^see above,^see above,[- Shamos (1978)],Shamos,1978,-,,[],0,,,,,1,4->5,4,n: 4,$O(n \log n)$,11,$n$: length of array,n,,,Word/Real RAM,words,2,n: 2,$O(\log n)$,keep track of recursive maximums,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Maximum_subarray_problem,,,,,,,,,,,9965.784285,100343.3319,0.3539982994,19931568.57,50171665944,0.9124540696,29897352854,3.34478E+16,1.721772176,3,,,Combinatorics,FALSE
