Old Family #,Family Name,Looked at?,Subproblem,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,Comparison sorting,226,,,,,,,,,"modified parallel merge sort - Marszalek, Capizzi",2019,https://link.springer.com/chapter/10.1007/978-3-030-30275-7_33,,,,,,,,n -1/3,O(n),10,,O(n^2),20,,,n: size of list,,,,CREW PRAM,120,,,,,,,,,0,,0,,,1,n,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,227,,,,,,,,,Goyal,2020,https://www.proquest.com/docview/2418759164?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(1),O(1),0,,O(n log m),,,,n: number of integers in range {0...m-1},,,,arbitrary CRCW PRAM,131,,,,,,,,,0,,0,,,1,O(n log m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,228,,,,,,,,,Goyal,2020,https://www.proquest.com/docview/2418759164?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(loglog m/ log(p/n)),O(1),0,,O(p loglog m/ log(p/n)),,,,"n: number of integers in range {0...m-1}
p: number of processors",,,,priority CRCW PRAM,133,,,,,,,,,0,,0,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,229,,,,,,,,,"An, Oruc",2020,https://arxiv.org/abs/2011.11144,,,,,,,,O(1),O(1),0,,O(n^2),20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,0,,0,,,1,O(n^2),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,230,,,,,,,,,"Parallel Quick Sort Algorithm
(PQSA) and Merging Subarrays from Quick Sort Algorithm
(MSQSA) - Zeng",2021,https://ieeexplore.ieee.org/abstract/document/9498124,,,,,,,,O(n/p log(n/p)),O(1),0,,O(n log(n/p)),11,,,"n: size of list
p: number of threads (->procesors)",,,,shared memory (implements OpenMP),100,,,,,,,,,0,,0,,,1,p,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting,231,,,,,,,,,"Moghaddam, Moghaddam",2021,https://www.researchsquare.com/article/rs-530919/v1,,,,,,,,O(n log p) + O(n log(log p /p)),O(n),10,,O(np log p) + O(np log(log p /p)),,,,"n: size of list
p: number of processors",,,,CREW PRAM,120,,,,,,,,,0,,0,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting,Non-Comparison Sorting; Integer Sorting,232,,,,,,,,,"Han, He",2022,https://www.worldscientific.com/doi/abs/10.1142/S0129054122500071,,,,,,,,O((log n)^(3/2)/ loglog n),O((log n)^(3/2)/ loglog n),,,O(n (log n/ loglog n)^(1/2)),,https://www.worldscientific.com/doi/abs/10.1142/S0129054122500071,,"n: number of integers in range {0,...n^(1/2)} or {0,...,n-1}",,,,CREW PRAM,120,,,,,,,,,0,,0,,,1,O(n (loglog n)^(1/2) / log n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,233,,,,,,,,,Kunapuli,2022,https://www.proquest.com/docview/2760564135?fromopenview=true&pq-origsite=gscholar&parentSessionId=fzYBUp1qawX4RG%2BojNv7T8nMX1f%2BPbvngyjuJvA6luc%3D,,,,,,,,O(c),O(1),0,,O(n^2 log^c(n)),25,,,"n: size of list (real numbers)
c: a constant",,,,Common CRCW PRAM,132,,,,,,,,,0,,0,,,1,O(n^2 log^c(n)),25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,234,,,,,,,,,"2mm - Mubarak, Iqbal, Naeem, Hussain",2022,https://www.sciencedirect.com/science/article/abs/pii/S0304397522000512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,235,,,,,,,,,"Parallel D&C Bubble Sort - Ganapathi, Chowdhury (1)",2022,https://academic.oup.com/comjnl/article/65/10/2709/6334046,,,,,,,,$O(n^2/p +n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,shared-memory multicore machine in the binary-forking model ,,,,,,,,,,0,,0,,,1,p,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,236,,,,,,,,,"Parallel D&C Selection Sort - Ganapathi, Chowdhury (2)",2022,https://academic.oup.com/comjnl/article/65/10/2709/6334046,,,,,,,,$O(n^2/p +n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,shared-memory multicore machine in the binary-forking model ,,,,,,,,,,0,,0,,,1,p,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,237,,,,,,,,,"Parallel D&C Insertion Sort - Ganapathi, Chowdhury (3)",2022,https://academic.oup.com/comjnl/article/65/10/2709/6334046,,,,,,,,$O(n^2/p +n)$,$O(n)$,10,,$O(n^\log{3})$,,,,n: size of list,,,,shared-memory multicore machine in the binary-forking model ,,,,,,,,,,0,,0,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,238,,,,,,,,,Kasani (1),2022,https://www.proquest.com/docview/2668922234?pq-origsite=gscholar&fromopenview=true,,,,,,,,$O(1)$,$O(1)$,0,,$O(n^3)$,30,,,n: number of real numbers,,,,PRAM,100,,,,,,,,,0,,0,,,1,$n^3$,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,239,,,,,,,,,Kasani (2),2022,https://www.proquest.com/docview/2668922234?pq-origsite=gscholar&fromopenview=true,,,,,,,,$O(\log{\log{n}})$,$O(\log{\log{n}})$,0.1,,$O(n^2 \log{\log{n}})$,2.1,,,n: number of real numbers,,,,PRAM,100,,,,,,,,,0,,0,,,1,$n^2$,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,Comparison sorting,240,,,,,,,,,"Goodrich, Jacob",2023,https://dl.acm.org/doi/abs/10.1145/3558481.3591093,,,,,,,,O(log n) w/ high probability,O(log n) w/ high probability,1,https://dl.acm.org/doi/abs/10.1145/3558481.3591093,O(nlog n) w/ high probability,11,https://dl.acm.org/doi/abs/10.1145/3558481.3591093,,n: size of list,,,,CREW PRAM,120,,,,,,,,,1,,0,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Comparison Sorting,Comparison sorting,241,,,,,,,,,"Multi-Deque Partition DualDeque Merge Sorting algorithm (MPDMSort) - Ketchaya, Rattanatranurak",2023,https://www.nature.com/articles/s41598-023-33583-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.emerald.com/insight/content/doi/10.1108/ACI-10-2021-0288/full/html,,,,,,,,,,,,,,,,,,,,,,,,,,
2,kth Order Statistic,2,kth Order Statistic,kth Order Statistic,242,,,1,1,O(n^eps),,,[https://www.sciencedirect.com/science/article/pii/0020019084901285 Akl (1983)],Akl,1983,https://www.sciencedirect.com/science/article/pii/0020019084901285,,,,,,,,O(n^eps),O(n^eps),5.02,https://www.sciencedirect.com/science/article/pii/0020019084901285,O(n),10,https://www.sciencedirect.com/science/article/pii/0020019084901285,yes,"n: size of list
eps: processor parameter",n,,,"SIMD (synch, CRCW)",220,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n^(1-eps)),8.3,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
2,kth Order Statistic,2,kth Order Statistic,kth Order Statistic,243,,,1,1,O(log n log log n),,,[https://archive.org/details/optimalparallela00vish/mode/2up Vishkin (1983)],Vishkin,1983,https://archive.org/details/optimalparallela00vish/mode/2up,,,,,,,,O(log n log log n),O(log n log log n),1.1,https://archive.org/details/optimalparallela00vish/mode/2up,O(n),10,,no,n: size of list,n,,,EREW PRAM,110,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n/(log n log log n)),8.95,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
2,kth Order Statistic,2,kth Order Statistic,kth Order Statistic,244,,,1,1,O(log n log* n),,,"[https://dl.acm.org/doi/10.1145/12130.12151 Cole, Vishkin (1986)]","Cole, Vishkin",1986,https://dl.acm.org/doi/10.1145/12130.12151,,,,,,,,O(log n log* n),O(log n log* n),1.001,https://dl.acm.org/doi/10.1145/12130.12151,O(n),10,https://dl.acm.org/doi/10.1145/12130.12151,yes,n: size of list,n,,,EREW PRAM,110,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n/(log n log* n)),8.99,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
2,kth Order Statistic,0.001,kth Order Statistic,kth Order Statistic,245,,,1,1,,,,"[https://journal.mcast.edu.mt/api/files/view/1411627.pdf Cortis, Inguanez, Farrugia (2020)]","Cortis, Inguanez, Farrugia",2020,https://journal.mcast.edu.mt/api/files/view/1411627.pdf,,,,,,,,,,,,,,,no,n: size of list,n,,,,,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,246,,,1,1,O(log^2 n),,,"[https://epubs.siam.org/doi/10.1137/0212043 Valiant, Skyum, Berkowitz, Rackoff [implicit] (1983)]","Valiant, Skyum, Berkowitz, Rackoff [implicit]",1983,https://epubs.siam.org/doi/10.1137/0212043,,,,0,0,2,n: 2,O(log^2 n),O(log^2 n),2,,O(n^9 log^2 n)?,92,,no,n: number of matrices in chain,n,,,CRCW PRAM?,130,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n^9),90,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,247,,,1,1,O(log^2 n),,,[https://www.sciencedirect.com/science/article/pii/0304397588901478 Rytter (1988)],Rytter,1988,https://www.sciencedirect.com/science/article/pii/0304397588901478,,,,0,0,2,n: 2,O(log^2 n),O(log^2 n),2,https://www.sciencedirect.com/science/article/pii/0304397588901478,O(n^6 log n)?,61,,no,n: number of matrices in chain,n,,,CREW PRAM,120,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n^6/log n),59,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,248,,,1,1,O(log^2 n),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=277784&tag=1 Huang, Liu, Viswanathan (1990)]","Huang, Liu, Viswanathan",1990,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=277784&tag=1,,,,0,0,2,n: 2,O(log^2 n),O(log^2 n),2,https://www.computer.org/csdl/journal/td/1994/03/l0326/13rRUwbaqUh,O(n^6/log^3 n),57,,no,n: number of matrices in chain,n,,,CREW PRAM,120,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n^6/log^5 n),55.5,0,0,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,0.001,MCOP,MCOP,249,,,1,1,O(log^2 n),,,"[ Galil, Park (1992)]","Galil, Park",1992,,,,,0,0,2,n: 2,O(log^2 n),O(log^2 n),2,,O(n^6/log^4 n)?,56,,no,n: number of matrices in chain,n,,,CREW PRAM?,120,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,O(n^6/log^6 n),55.4,0,0,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,250,,,1,1,O(log^4 n),,,"[https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors Bradford, Rawlins, Shannon (1992)]","Bradford, Rawlins, Shannon",1992,https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors,,,,0,0,2,n: 2,$O(\log^4 n)$,$O(\log^4 n)$,4,https://www.academia.edu/9377391/Matrix_Chain_Ordering_in_Polylog_Time_with_n_lg_n_Processors,O(n log^3 n),13,,no,n: number of matrices in chain,n,,,COMMON CRCW PRAM,132,words?,3,n: 3,$O(n)$,"Derived: solving the optimal triangulation problem of a convex polygon where there are $n+1$ vertices and $n+1$, so total $O(n)$ auxiliary space",1,0,,0,,0,,0,1,$n / \log n$,9,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,9.965,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,251,,,1,1,O(log^4 n),,,[https://epubs.siam.org/doi/abs/10.1137/0225039 Prakesh Ramanan (1996)],Prakesh Ramanan,1996,https://epubs.siam.org/doi/abs/10.1137/0225039,,,,0,0,2.03,n: 2.03,$O(\log^4 n)$,$O(\log^4 n)$,4,https://epubs.siam.org/doi/abs/10.1137/0225039,$O(n\log^4 n)$?,14,https://epubs.siam.org/doi/abs/10.1137/0225039,no,$n$: number of matrices,n,,,CREW PRAM,120,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n$,10,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,252,,,1,1,$O(\log^3 n)$,,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,$O(\log^3 n)$,$O(\log^3 n)$,3,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,COMMON CRCW PRAM,132,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n / \log n$,9,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,253,,,1,1,O(log^2 n log log n),,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,O(log^2 n log log n),O(log^2 n log log n),2.1,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,CRCW PRAM,130,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n / \log \log n$,9.1,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,MCOP,MCOP,254,,,1,1,O(log^2 n),,,"[https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf Bradford, Rawlins, Shannon (1998)]","Bradford, Rawlins, Shannon",1998,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,,,,0,0,2.03,n: 2.03,O(log^2 n),O(log^2 n),2,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/00288295.pdf,$O(n\log^2 n)$,12,,no,$n$: number of matrices,n,,,EREW PRAM,110,words,3,n: 3,$O(n)$?,Derived: $n$ subtrees and each one has a $O(1)$ size trunk,1,0,,0,,0,,0,1,$n$,10,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,99,Inf,,,,,,,,1,,,Combinatorics
3,Matrix Chain Multiplication,1,Matrix Chain Scheduling Problem,Matrix Chain Scheduling Problem,255,,,1,1,O (log^3 n),,,[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf Czumaj (1993)],Czumaj,1993,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,,,,0,0,2.02,n: 2.02,O(log^3 n),$O(log^3 n)$,3,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,$O(n^2)$,20,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.9426&rep=rep1&type=pdf,no?,$n$: number of matrices,n,,,CREW PRAM,120,words,5,n: 5,$O(n^2)$?,Derived: uses two arrays ($D$ and $c$) both of size $O(n^2)$,1,0,,0,,0,,0,1,$O(n^2 / \log^3 n)$,17.9,0,0,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,,,,,,,,,,,989,Inf,,,,,,,,1,,,Combinatorics
4,Longest Common Subsequence,1,LCS,LCS,256,,,,,,,,[https://ieeexplore.ieee.org/document/21966 Aggarwal & Park (1988)],Aggarwal & Park,1988,https://ieeexplore.ieee.org/document/21966,,,,,,,,O(log m log n),O(log m log n),2,https://ieeexplore.ieee.org/document/21966,O(mn log n),21,https://ieeexplore.ieee.org/document/21966,no?,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(mn/log m),19,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,ALCS; LCS,257,,,,,,,,,"Alves, Cáceres, Song",2003,https://ieeexplore.ieee.org/iel5/8608/27277/01213150.pdf,,,,,,,,O(mn/p + log p),O(mn/p + log p),16,,O(mn),20,,,"n, m: lengths of strings",,,,BSP/CGM,400,,,,,,,,,0,,0,,0,1,p < sqrt(m),6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,258,,,,,,,,"[https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313 Apostolico, Atallah, Larmore, McFaddin (1990)]","Apostolico, Atallah, Larmore, McFaddin",1990,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,,,,,,,,O(log m log n),O(log m log n),2,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,O(mn log n),21,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,no?,"m: length of shorter string
n: length of longer string",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(mn/log m),19,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,259,,,,,,,,"[https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313 Apostolico, Atallah, Larmore, McFaddin (1990)]","Apostolico, Atallah, Larmore, McFaddin",1990,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,,,,,,,,O(log n (log log m)^2),O(log n (log log m)^2),1.15,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,O(mn log n log log m),21.1,https://www.proquest.com/openview/efa7264fa824ce7768c53ccdcc6d1458/1?pq-origsite=gscholar&cbl=666313,no?,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(mn/log log m),19.9,0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,260,,,,,,,,,"Babu, Saxena",1997,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=634481,,,,,,,,O(log m),O(log m),1,,O(mn log m),21,,,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(mn),20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,261,,,,,,,,,"Babu, Saxena",1997,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=634481,,,,,,,,O(log^2 n),O(log^2 n),2,,O(mn),20,,,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,mn/ logn,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,262,,,,,,,,,"Chen, Wan, Liu",2006,https://link.springer.com/content/pdf/10.1186/1471-2105-7-S4-S4.pdf,,,,,,,,"O(|LCS(X,Y)|)","O(|LCS(X,Y)|)",10,,O(L),20,,,"m: length of shorter string
n: length of longer string
L: number of identical char pairs",,,,MPP,700,,,,,,,,,0,,0,,0,1,"O(L/|LCS(X,Y)|)",10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,0.001,LCS,,263,,,,,,,,,"Eswaran, RajaGopalan",2010,http://www.anale-informatica.tibiscus.ro/download/lucrari/8-1-11-Sumathy.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,264,,,,,,,,,"Galper, Brutlag (synchronous Row Wavefront approach)",1990,https://wayback.stanford.edu/was/20180312101809mp_/http://cmgm.stanford.edu/~brutlag/Papers/galper90.pdf,,,,,,,,O(ceil(m/p)*(n+p)),O(m),10,,O(mn),20,,,,,,,shared memory,300,,,,,,,,,0,,0,,0,1,p,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Longest Common Subsequence,1,LCS,LCS,265,,,,,,,,,"Galper, Brutlag (asynchronous Row Wavefront approach) (also asynch DWF)",1990,https://wayback.stanford.edu/was/20180312101809mp_/http://cmgm.stanford.edu/~brutlag/Papers/galper90.pdf,,,,,,,,O(ceil(mn/p + p)),O(ceil(mn/p + p)),10,,O(mn+p^2),20,,,,,,,shared memory,300,,,,,,,,,0,,0,,0,1,p,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
