Family Name, ,Looked at?,Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,DOI,Authors,Number of Authors,Title,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
Maximum Flow,5,2,Max Flow,st-Maximum Flow,197,Derandomization of Cheriyan & Hagerup,,1,1,O(VE + V^{(2+\epsilon)}),^ see 233,,[https://dl.acm.org/citation.cfm?id=139438 King et al. (KRT) (1992)],King et al. (KRT),1992,https://dl.acm.org/citation.cfm?id=139438,,[],3,,,,,0,0,6,"V: 6,
E: 3",$O(VE + V^{2+\epsilon})$,,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: any positive real number",V,https://dl.acm.org/citation.cfm?id=139438,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,142011,55473.69869,,,,,,,,2,,,Combinatorics
Maximum Flow,5,2,Max Flow,st-Maximum Flow,198,Derandomization of Cheriyan & Hagerup,,1,1,O(VE(Log(V;V/E)) + V^2(LogV)^2 ),^ see 233,,[https://dl.acm.org/citation.cfm?id=167201 Phillips & Westbrook (1993)],Phillips & Westbrook,1993,https://dl.acm.org/citation.cfm?id=167201,,[],2,,,,,1,0,6,"V: 6,
E: 3",$O(VE(\log(V;V/E)) + V^2(\log V)^2 )$,,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=167201,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,4524418.767,0.000221023,,2.60E+13,0,,6.52E+19,0,,2,,,Combinatorics
Maximum Flow,5,2,Max Flow,Integer Maximum Flow,199,Finding blocking flows,,1,1,O(E^{1.5} Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,[],2,,,,,1,3->4,6,"V: 6,
E: 4.5,
U: 2",$O(E^{1.5} \log(V^2/E) \log U)$,,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,460753.7601,16.40695149,,75582472025,0,,5.82E+15,0,,2,,,Combinatorics
Maximum Flow,5,2,Max Flow,Integer Maximum Flow,200,Finding blocking flows,,1,1,O(V^{0.66}E Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,[],2,,,,,0,0,5.66,"V: 5.66,
E: 3,
U: 2",$O(V^{0.66}E \log(V^2/E) \log U)$,,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,851225,9254.751005,,,,,,,,2,,,Combinatorics
Maximum Flow,5,2,Max Flow,st-Maximum Flow,201,Improvement of the KRT algorithm,,1,1,O(VE),^ see 233,,[https://dl.acm.org/citation.cfm?id=2488705 James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm (2013)],James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm,2013,https://dl.acm.org/citation.cfm?id=2488705,,[],1,,,,,1,0,6,"V: 6,
E: 3",$O(VE)$,,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=2488705,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,88757,88757.7929,0.201737967,88757396440,88757396408,0.501702641,8.88E+16,8.88E+16,0.876541347,2,,,Combinatorics
Graph Coloring,7,1,,3-Graph Coloring,202,,,1,1,O(m*n*3^{(n/3)}) ~ O(mn(1.445)^n),,,[https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub Lawler (1976)],Lawler,1976,https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub,,[],1,,,,,1,0,8,"n: 8,
m: 3",$O(m*n*3^{(n/3)}) ~ O(mn(1.445)^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,3,"n: 3,
m: 1",O(n),(can be easily derived; see section 6 of ref),1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics
Graph Coloring,7,1,,3-Graph Coloring,203,,,1,1,O(1.415^n),,,[https://link.springer.com/chapter/10.1007/3-540-57899-4_51 Schiermeyer (1994)],Schiermeyer,1994,https://link.springer.com/chapter/10.1007/3-540-57899-4_51,10.1007/3-540-57899-4_51,['Ingo Schiermeyer'],1,['Deciding 3-colourability in less than O(1.415n) steps'],,,,0,0,8,n: 8,$O(1.415^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,6,"n: 6,
m: 3","O(nm+n^2) loose bound, possibly O(n+m)?",(can be derived from steps of algorithm),1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,,,,,,,1,,,Combinatorics
Graph Coloring,7,1,,3-Graph Coloring,204,,,1,1,O(1.3446^n),(unclear if there is a notable distribution where average runtime is faster),(none),[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=492575 Beigel & Eppstein (1995)],Beigel & Eppstein,1995,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=492575,,[],2,,,,,0,0,8,n: 8,$O(1.3446^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,5,n: 5,O(n^2)?,"can be derived from steps of algorithm? you add at most O(n^2) constraints, other info shouldn't take more than O(n^2) space, and you can reuse space during recursive steps",1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,,,,,,,1,,,Combinatorics
Graph Coloring,7,1,,3-Graph Coloring,205,,,1,1,O(1.3289^n),^see above,(none),[https://www.sciencedirect.com/science/article/pii/S0196677404001117?via%3Dihub Beigel & Eppstein (2000)],Beigel & Eppstein,2000,https://www.sciencedirect.com/science/article/pii/S0196677404001117?via%3Dihub,,[],2,,,,,0,0,8,n: 8,$O(1.3289^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,5,n: 5,O(n^2)?,can be derived from steps of algorithm? similar to above,1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,,,,,,,1,,,Combinatorics
Graph Coloring,8,1,,4-Graph Coloring,206,,,1,1,O((m + n)*2^n),,,[https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub Lawler (1976)],Lawler,1976,https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub,,[],1,,,,,1,0,8,"n: 8,
m: 3",$O((m + n)*2^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,3,"n: 3,
m: 1",O(n),(can be easily derived; see section 6 of ref),1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,Inf,1,,Inf,1,,1,,,Combinatorics
Graph Coloring,8,1,,4-Graph Coloring,207,,,1,1,O(1.7504^n),,,[https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub Byskov (2004)],Byskov,2004,https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub,,[],1,,,,,0,0,8,n: 8,$O(1.7504^n)$,,"n: number of vertices
m: number of edges",n,,,Word RAM,words,5,n: 5,O(n^2)?,can be derived from algo 89 plus the paper's algo for finding MIS's?,1,0,,0,,0,,0,0,,0,0,,"graph coloring is a special case of graph labeling; it is an assignment
 of labels traditionally called ""colors"" to elements of a graph subject
 to certain constraints. ",,,,,,,,,,Inf,1,,,,,,,,1,,,Combinatorics
Linear System,9,2,,Positive Definite Matrix,208,,,1,0,O (m k^0.5),^see above (positive definite),^see above,[https://nvlpubs.nist.gov/nistpubs/jres/049/jresv49n6p409_A1b.pdf Conjugate Gradient (1952)],Conjugate Gradient,1952,https://nvlpubs.nist.gov/nistpubs/jres/049/jresv49n6p409_A1b.pdf,,[],2,,1,1,https://en.wikipedia.org/wiki/Conjugate_gradient_method,1,3->4,3,"m: 3,
k: 2.5,
n^2: 3",$O(m k^{0.5})$,,"n: number of variables and number of equations
m: number of nonzero entries in matrix
k: ratio between largest and smallest eigenvalues",n^2,,,Word RAM,words,3,"m: 3,
n: 5,
n^2: 3",O(m),http://www.cs.cmu.edu/~quake-papers/painless-conjugate-gradient.pdf,0,0,,0,,1,,0,0,,0,0,http://www.cs.cmu.edu/~quake-papers/painless-conjugate-gradient.pdf,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,"n:m:k
1:1:1",,,,,,,6076,6077.359612,1.066852945,192450089.7,192450089.7,3.901848033,6.09E+12,6.09E+12,10.62411354,3,,,Numerical Analysis
Linear System,9,2,,Sparse Linear System,209,Quantum algorithm,,1,1,O (k^2*logn),,,[https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.150502 Harrow (Quantum) (2009)],Harrow (Quantum),2009,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.150502,10.1103/PhysRevLett.103.150502,"['Aram W. Harrow', 'Avinatan Hassidim', 'Seth Lloyd']",3,['Quantum Algorithm for Linear Systems of Equations'],,,,0,0,2,"k: 5,
n: 2,
n^2: 2",$O(k^2*\log n)$,,"n: number of variables and number of equations
k: ratio between largest and smallest eigenvalues",n^2,,,Quantum Computer,qubits,2,"n: 2,
n^2: 2",O(\log n),https://arxiv.org/pdf/0811.3171.pdf,0,1,,0,,0,,0,0,,1,0,https://en.wikipedia.org/wiki/Quantum_algorithm_for_linear_systems_of_equations,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,"n:m:k
1:1:1",,,,,,,8.37,4411712.903,,,,,,,,3,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,210,,,1,1,O(n^3.5 L^2 logL loglogL),,,[https://web.archive.org/web/20131228145520/http://retis.sssup.it/~bini/teaching/optim2010/karmarkar.pdf Karmarkar's algorithm (1984)],Karmarkar's algorithm,1984,https://web.archive.org/web/20131228145520/http://retis.sssup.it/~bini/teaching/optim2010/karmarkar.pdf,,[],1,,,,,1,0,6.5,"n: 6.5,
L: 5.02",$O(n^{3.5} L^2 logL loglogL)$,,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3,
L: 3",O(nmL),can be derived from paper?,1,0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,3.89E+11,Inf,,1.23E+22,Inf,,3.89E+32,Inf,,1,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,211,,,1,1,"O(2^n*poly(n, m))? (previously O(2^n))",,,[- Simplex Algorithm (1947)],Simplex Algorithm,1947,-,,[],0,,,,,0,0,8,"n: 8,
m: 7","$O(2^n*poly(n, m))$",,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3",O(nm),can be easily derived?,1,0,,0,,0,,0,0,,0,0,http://www-leland.stanford.edu/group/SOL/reports/OR-80-27.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",333333.3333,Inf,3.33E+11,Inf,3.33E+17,Inf,Inf,1,,,,,,,,1,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,212,,,1,1,"O(2^n*poly(n, m))? (previously O(2^n))",,,[- Terlaky's Criss-cross algorithm (1985)],Terlaky's Criss-cross algorithm,1985,-,,[],0,,,,,0,0,8,"n: 8,
m: 7","$O(2^n*poly(n, m))$",,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3",O(nm),can be easily derived?,1,0,,0,,0,,0,0,,0,0,https://link.springer.com/content/pdf/10.1007/BF01585729.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,Inf,1,,,,,,,,1,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,213,,,1,1,? (originally O(n^{3.5} L) but seems unclear),,,[- Affine scaling (1967)],Affine scaling,1967,-,,[],0,,,,,0,0,6.5,"n: 6.5,
L: 3",? (originally $O(n^{3.5} L)$ but seems unclear),,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 5",O(nm+m^2)?,can be easily derived?,1,0,,0,,0,,0,0,,0,0,https://pdfs.semanticscholar.org/c23c/43d781da35b8314489d83ee8f3b5490541ea.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,3.16E+11,Inf,Inf,,,Inf,,,Inf,1,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,214,,,1,1,"$O(n^{(max(omega, 2.5-alpha/2, 13/6))}*polylog(n, m, L))$, where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently $O(n^{2.37285956})$",,,[https://arxiv.org/abs/1810.07896 Cohen; Lee and Song (2018)],Cohen; Lee and Song,2018,https://arxiv.org/abs/1810.07896,,[],3,,1,1,https://arxiv.org/abs/1810.07896,1,2->3,6,n: 6,"$O(n^{max(omega, 2.5-alpha/2, 13/6)}*polylog(n, m, L))$, where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently $O(n^2.37285956)$",,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,5,"n: 5,
m: 3",O(nm+n^2)?,"Not entirely sure about this, but it seems like each iteration manipulates a constant number of $O(m+n)\times O(n)$ matrices, along with a constant number of vectors of size $O(m+n)$, all of whose elements are of size $O(1)$ words.",1,0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,12971792,Inf,,1.68E+14,Inf,,2.18E+21,Inf,,1,,,Numerical Analysis
Linear Programming,10,1,General Linear Programming,,215,,,1,1,O((nnz(A) + n^2) n^{0.5}),,,[https://arxiv.org/abs/1503.01752 Lee and Sidford (2015)],Lee and Sidford,2015,https://arxiv.org/abs/1503.01752,,[],2,,,,,0,0,5.5,n: 5.5,$O((nnz(A) + n^2) n^{0.5})$,,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,5,"n: 5,
m: 3",O(nm+n^2)??,Same reasoning as ^,1,0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,31654399,Inf,Inf,,,Inf,,,Inf,1,,,Numerical Analysis
Line segment intersection,11,1,Reporting intersection points,"Reporting all intersection points, line segments",216,,,1,1,O( nlog n + k ),,,[https://dl.acm.org/doi/10.1145/147508.147511 Chazelle & Edelsbrunner (1992)],Chazelle & Edelsbrunner,1992,https://dl.acm.org/doi/10.1145/147508.147511,10.1145/147508.147511,"['Bernard Chazelle', 'Herbert Edelsbrunner']",2,['An optimal algorithm for intersecting line segments in the plane'],,,,0,0,4,"n: 4,
k: 3",$O( n \log n + k )$,,"n: number of line segments
k: number of points of intersection",n,,,Real RAM,words,3,"n: 3,
k: 3",O(n+k) total?,https://dl.acm.org/doi/10.1145/147508.147511,0,1,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,9996,100.040016,,,,,,,,4,,,Image Processing
Line segment intersection,11,1,Reporting intersection points,"Reporting all intersection points, line segments",217,,,1,1,O( n*log^2(n)/(log log n) + k),,,[https://www.sciencedirect.com/science/article/pii/0022000086900255 CHAZELLE (1986)],CHAZELLE,1986,https://www.sciencedirect.com/science/article/pii/0022000086900255,,[],1,,,,,0,0,4,"n: 4,
k: 3",$O( n*log^2(n)/(log log n) + k)$,,"n: number of line segments
k: number of points of intersection",n,,,Real RAM,words,3,"n: 3,
k: 3",O(n+k) total (and possibly auxiliary as well?),https://www.sciencedirect.com/science/article/pii/0022000086900255,0,1,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,3336.9,299.6793431,,,,,,,,4,,,Image Processing
Line segment intersection,11,1,,"Reporting all intersection points, convex polygons",218,,,1,1,O( nlog n + k ),,,[https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf NIEVERGELT. J.. AND PREPARATA (Section 3) (1982)],NIEVERGELT. J.. AND PREPARATA (Section 3),1982,https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf,,[],4,,3,1,https://dl.acm.org/doi/pdf/10.1145/358656.358681,1,0,4,"n: 4,
k: 3",$O( n \log n + k )$,,"n: number of line segments
k: number of points of intersection",n,,,Real RAM,words,3,"n: 3,
k: 1",O(n),https://courses.cs.duke.edu/cps234/spring04/papers/NP82.pdf,0,0,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,9996,100.040016,,19932568,8441832.789,,29897384477,73007386768,,4,,,Image Processing
Line segment intersection,11,1,,"Reporting all intersection points, generalized segments",219,,,1,1,O( n log n + k log n),,,"[https://epubs.siam.org/doi/abs/10.1137/S0097539797329373 Jean-Daniel Boissonnat and Franco P.
Preparata.  (1997)]","Jean-Daniel Boissonnat and Franco P.
Preparata. ",1997,https://epubs.siam.org/doi/abs/10.1137/S0097539797329373,10.1137/S0097539797329373,"['Jean-Daniel Boissonnat', 'Franco P. Preparata']",2,['Robust Plane Sweep for Intersecting Segments'],,,,0,0,4,"n: 4,
k: 3",$O(n \log n + k \log n)$,,"n: number of line segments
k: number of points of intersection",n,,,"Real RAM, under more restrictions/considerations? (predicate arithmetic, exact arithmetic)",words,3,"n: 3,
k: 1",O(n),https://epubs.siam.org/doi/epdf/10.1137/S0097539797329373,0,1,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,10280,97.27626459,,,,,,,,4,,,Image Processing
Line segment intersection,11,1,,"Reporting all intersection points, generalized segments",220,,,1,1,O( nlog n + k ),,,[https://dl.acm.org/doi/pdf/10.1145/220279.220302 Balaban. (1995)],Balaban.,1995,https://dl.acm.org/doi/pdf/10.1145/220279.220302,10.1145/220279.220302,['Ivan J. Balaban'],1,['An optimal algorithm for finding segments intersections'],,,,0,0,4,"n: 4,
k: 3",$O(n \log n + k )$,,"n: number of line segments
k: number of points of intersection",n,,,Real RAM,words,3,"n: 3,
k: 1",O(n),https://dl.acm.org/doi/pdf/10.1145/220279.220302,0,1,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,9996,100.040016,,,,,,,,4,,,Image Processing
Line segment intersection,11,1,,"Reporting all intersection points, generalized segments",221,,,1,1,O( nlog n + k ),,,[https://dl.acm.org/citation.cfm?id=304991 Boissonnat; Snoeyink (1999)],Boissonnat; Snoeyink,1999,https://dl.acm.org/citation.cfm?id=304991,,[],2,,,,,0,0,4,"n: 4,
k: 3",$O(n \log n + k )$,,"n: number of line segments
k: number of points of intersection",n,,,"Real RAM, under more restrictions/considerations? (predicate arithmetic)",words,3,"n: 3,
k: 1",O(n),https://dl.acm.org/citation.cfm?id=304991,0,1,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,9996,100.040016,,,,,,,,4,,,Image Processing
Line segment intersection,11,1,Reporting intersection points,"Reporting all intersection points, line segments",222,,,1,1,O(log^2(n)),,,[https://dl.acm.org/citation.cfm?id=72950 Goodrich (1989)],Goodrich,1989,https://dl.acm.org/citation.cfm?id=72950,,[],1,,,,,0,0,2,n: 2,$O(\log^2(n))$,,"n: number of line segments
k: number of points of intersection",n,,,CREW PRAM,words,3,"n: 3,
k: 3",O(n+k) total?,"Seems to require creating/storing an O(n)-sized data structure (""segment tree""), and then computing the O(k) intersections using the data structure",1,0,,0,,0,,0,1,O(n + k/log n),0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,99.3,10070.49345,,,,,,,,4,,,Image Processing
Convex Hull,12,1,2-dimensional,2-dimensional,223,,,1,1,O(nlogn),Any distribution (runtime is same regardless of input),https://link.springer.com/chapter/10.1007/978-1-4612-1098-6_3,[https://www.sciencedirect.com/science/article/pii/0020019072900452?via%3Dihub Graham (1972)],Graham,1972,https://www.sciencedirect.com/science/article/pii/0020019072900452?via%3Dihub,,[],1,,,,,1,3->5,4,n: 4,$O(n \log n)$,11,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),can be easily derived,1,0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965,100351.2293,0.365137162,19931568.57,50171665944,0.946263248,29897352854,3.34E+16,1.796433658,3,,,Image Processing
Convex Hull,12,1,2-dimensional,2-dimensional,224,,,1,1,O(nh),(pseudorandom sampling; experimental),https://dl.acm.org/citation.cfm?id=355766,[https://dl.acm.org/citation.cfm?id=355766 W. Eddy Quickhull (1977)],W. Eddy Quickhull,1977,https://dl.acm.org/citation.cfm?id=355766,,[],1,,,,,0,0,5,"n: 5,
h: 3",$O(nh)$,20,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,"n: 3,
h: 3",O(h)?,can be easily derived,1,0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965,100351.2293,,,,,,,,3,,,Image Processing
Convex Hull,12,1,2-dimensional; 3-dimensional,2-dimensional; 3-dimensional,225,,,1,1,O(nlogn),,,[https://dl.acm.org/citation.cfm?id=359430 Preparata and Hong (1977)],Preparata and Hong,1977,https://dl.acm.org/citation.cfm?id=359430,,[],2,,,,,0,0,4,n: 4,$O(nlogn)$,11,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n)?,Divide and conquer can be done in linear space total as space can be reused after conquer steps,1,0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965,100351.2293,,,,,,,,3,,,Image Processing
Convex Hull,12,1,2-dimensional,2-dimensional,226,,,1,1,O(nlogn),,,[https://www.sciencedirect.com/science/article/pii/0020019079900723 Andrew's algorithm (1979)],Andrew's algorithm,1979,https://www.sciencedirect.com/science/article/pii/0020019079900723,,[],1,,,,,0,0,4,n: 4,$O(nlogn)$,11,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),can be easily derived,1,0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965,100351.2293,,,,,,,,3,,,Image Processing
Convex Hull,12,1,2-dimensional,2-dimensional,227,,,1,1,O(n log h),,,[https://ecommons.cornell.edu/handle/1813/6417 The ultimate planar convex hull algorithm (1986)],The ultimate planar convex hull algorithm,1986,https://ecommons.cornell.edu/handle/1813/6417,,[],2,,2,1,https://www.cs.princeton.edu/~chazelle/temp/451/451-2019/KirkSeidel.pdf,1,0,4,"n: 4,
h: 2",$O(n log h)$,11,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),https://ecommons.cornell.edu/handle/1813/6417,0,1,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,4982.892142,2.006063891,,9965784.285,0,,14948676427,0,,3,,,Image Processing
