 ,Family Name,"Looked at? (0 - no, 0.001 - briefly but seems to have issues, 1 - partially, 2 - [mostly] yes)",Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,Citation,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity (Auxiliary),Space Complexity Class,Space Complexity Reference,Derived Space Complexity?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,n = 1000 value,n = 1000 scale,n = 10^6 value,n = 10^6 scale,n = 10^9 value,n = 10^9 scale,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,,,,,,,,,,,,,,,,,,,,,,
,6 - Graph Coloring,1,,,1082,,,1,1,O(2.2461^n),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Proposition 2 (2006)]","Bjorklund, Husfeldt, Proposition 2",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2.2461^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(poly(n)),n: 7,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 6-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,6 - Graph Coloring,1,,,1083,,,1,1,O((2-eps)^n) for some eps>0,,,[https://drops.dagstuhl.de/opus/volltexte/2021/14182/pdf/LIPIcs-ICALP-2021-113.pdf Zamir (2021)],Zamir,2021,https://drops.dagstuhl.de/opus/volltexte/2021/14182/pdf/LIPIcs-ICALP-2021-113.pdf,,,,,,,O((2-eps)^n) for some eps>0,,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,1,Monte Carlo,0,,0,0,,0,0,,"In this case, we wish to determine whether or not a graph is 6-colorable.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1084,,,1,1,O(n!*poly(n)),,,[https://academic.oup.com/comjnl/article/14/1/38/356253?login=true Christofides (1971)],Christofides,1971,https://academic.oup.com/comjnl/article/14/1/38/356253?login=true,,,,,,,O(n!*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(poly(n)),n: 7,https://link.springer.com/article/10.1007/s00453-007-9149-8,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1085,,,1,1,O(mn(1+3^(1/3))^n),,,[https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub Lawler (1976)],Lawler,1976,https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub,,,,,,,O(mn(1+3^(1/3))^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n*log(n)),n: 8,https://www.sciencedirect.com/science/article/pii/S0167637704000409,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1086,,,1,1,O((4/3+3^(4/3)/4)^n) ~ O(2.4151^n),,,[https://arxiv.org/pdf/cs/0011009.pdf Eppstein (2003)],Eppstein,2003,https://arxiv.org/pdf/cs/0011009.pdf,,,,,,,O((4/3+3^(4/3)/4)^n) ~ O(2.4151^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n),n: 8,https://arxiv.org/pdf/cs/0011009.pdf,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1087,,,1,1,O(80^(n/5)) ~ O(2.4023^n),,,[https://www.sciencedirect.com/science/article/pii/S0167637704000409 Byskov (2004)],Byskov,2004,https://www.sciencedirect.com/science/article/pii/S0167637704000409,,,,,,,O(80^(n/5)) ~ O(2.4023^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n),n: 8,https://www.sciencedirect.com/science/article/pii/S0167637704000409,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1088,,,1,1,O(2^n*poly(n)),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Theorem 1 (2006)]","Bjorklund, Husfeldt, Theorem 1",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n*poly(n)),n: 8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1089,,,1,1,O(2.2461^n),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Proposition 2 (2006)]","Bjorklund, Husfeldt, Proposition 2",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2.2461^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(poly(n)),n: 7,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Number,1,,,1090,,,1,1,O(2^n*poly(n)),,,[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031393 Koivisto (2006)],Koivisto,2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031393,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this problem, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,#2 - Graph Coloring,1,,,1091,,,1,1,O(m),Any distribution (runtime is same regardless of input),(same general behavior across all inputs),[ BFS/DFS for connected components (-)],BFS/DFS for connected components,-,,,,,,,,O(m),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(n) auxiliary,n: 3,(can be easily derived),,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the number of all possible 2-colorings of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,#3 - Graph Coloring,1,,,1092,,,1,1,O(1.7879^n),,,"[https://link.springer.com/chapter/10.1007/978-3-540-45193-8_6 Angelsmark, Jonsson (2003)]","Angelsmark, Jonsson",2003,https://link.springer.com/chapter/10.1007/978-3-540-45193-8_6,,,,,,,O(1.7879^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the number of all possible 3-colorings of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,#3 - Graph Coloring,1,,,1093,,,1,1,O(1.7702^n*poly(n)),,,"[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.634.4498&rep=rep1&type=pdf Fürer, Kasiviswanathan (2005)]","Fürer, Kasiviswanathan",2005,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.634.4498&rep=rep1&type=pdf,,,,,,,O(1.7702^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the number of all possible 3-colorings of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,#3 - Graph Coloring,1,,,1094,,,1,1,O(1.6262^n),,,[https://link.springer.com/chapter/10.1007/978-3-540-73545-8_9 Fomin; Gaspers & Saurabh (2007)],Fomin; Gaspers & Saurabh,2007,https://link.springer.com/chapter/10.1007/978-3-540-73545-8_9,,,,,,,O(1.6262^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the number of all possible 3-colorings of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,#4 - Graph Coloring,1,,,1095,,,1,1,O(1.9464^n),,,[https://link.springer.com/chapter/10.1007/978-3-540-73545-8_9 Fomin; Gaspers & Saurabh (2007)],Fomin; Gaspers & Saurabh,2007,https://link.springer.com/chapter/10.1007/978-3-540-73545-8_9,,,,,,,O(1.9464^n),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the number of all possible 4-colorings of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Polynomial,1,,,1096,,,1,1,O(((1+sqrt5)/2)^(n+m)),,,[ Zykov (deletion-contraction) (1949)],Zykov (deletion-contraction),1949,,,,,,,,O(((1+sqrt5)/2)^(n+m)),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the chromatic polynomial of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Polynomial,1,,,1097,,,1,1,O(2^n*poly(n)),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392 Bjorklund, Husfeldt, Proposition 3 (2006)]","Bjorklund, Husfeldt, Proposition 3",2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,O(2^n*poly(n)) => O(1.292^n),n: 8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031392,,,0,,0,,0,0,,0,0,https://www.cambridge.org/core/books/topics-in-chromatic-graph-theory/graph-colouring-algorithms/0057166BDF05B304D0D81D6C1EB911B6,"In this case, we wish to determine the chromatic polynomial of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
,Chromatic Polynomial,1,,,1098,,,1,1,O(2^n*poly(n)),,,[https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031393 Koivisto (2006)],Koivisto,2006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031393,,,,,,,O(2^n*poly(n)),,"n: number of vertices
m: number of edges",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,"In this case, we wish to determine the chromatic polynomial of a graph.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
9,Linear system of equations,2,,General,1099,,,1,1,O (n^3),Presumably any continuous random matrix distribution?,"(none, though intuitively it seems ""rare"" to run into special cases where runtime is smaller)",[ LU decomposition ()],LU decomposition,,,,,,,,,O (n^3),,n: number of variables and number of equations,,,Word RAM,words,O(n^2),n: 5,can be easily derived,,,0,,0,,0,0,,0,0,,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
9,Linear system of equations,2,,General,1100,,,1,1,"O(n^omega) where omega is the exponent on the complexity of matrix multiplication;
currently O(n^2.37285956)",(see matrix multiplication),(see matrix multiplication),[ Matrix inverse ()],Matrix inverse,,,,,,,,,"O(n^omega) where omega is the exponent on the complexity of matrix multiplication;
currently O(n^2.37285956)",,n: number of variables and number of equations,,,Word RAM,words,O(n^2),n: 5,equivalent to matrix multiplication,,,0,,0,,0,0,,0,0,,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
9,Linear system of equations,1,,Toeplitz,1101,,,1,1,O(n*log^2(n)),,,[https://epubs.siam.org/doi/10.1137/040617200 Asymptotically fast Toeplitz algorithms (2008?)],Asymptotically fast Toeplitz algorithms,2008?,https://epubs.siam.org/doi/10.1137/040617200,,,,,,,O(n*log^2(n)),,n: number of variables and number of equations,,,Word RAM,words,O(n*log^2(n))?,n: 4,upper bound,,,0,,0,,0,0,,0,0,,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
9,Linear system of equations,1,,Sparse,1102,,,1,1,"O(max(m^{(omega-2)/(omega-1)}*n^2, n^{(5*omega-4)/(omega+1)})*log^2(k/epsilon)) where omega is the exponent on the complexity of matrix multiplication;
currently O(n^2.331642)",,,"[https://arxiv.org/abs/2007.10254 Peng, Vempala (2020)]","Peng, Vempala",2020,https://arxiv.org/abs/2007.10254,,,,,,,"$O(max(m^{(omega-2)/(omega-1)}*n^2, n^{(5*omega-4)/(omega+1)})*log^2(k/epsilon))$ where omega is the exponent on the complexity of matrix multiplication;
currently $O(n^2.331642)$",,"n: number of variables and number of equations
m: number of nonzero entries in matrix
k: ratio between largest and smallest eigenvalues
epsilon: error requirement",,,Word RAM,words,,,,,,1,,1,,0,0,,0,0,,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,General Linear Programming,,1103,,,1,1,O(((m+n)n^2+(m+n)^1.5*n)L^2 logL loglogL),,,[https://link.springer.com/article/10.1007/BF01580859 Vaidya (1987)],Vaidya,1987,https://link.springer.com/article/10.1007/BF01580859,,,,,,,O(((m+n)n^2+(m+n)^1.5*n)L^2 logL loglogL),,"n: number of variables
m: number of constraints
L: length of input, in bits",,,Word RAM,words,O((nm+n^2)L)?,,can be easily derived?,,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,General Linear Programming,,1104,,,1,1,O((m+n)^1.5*n*L^2 logL loglogL),,,[https://ieeexplore.ieee.org/document/63499 Vaidya (1989)],Vaidya,1989,https://ieeexplore.ieee.org/document/63499,,,,,,,O((m+n)^1.5*n*L^2 logL loglogL),,"n: number of variables
m: number of constraints
L: length of input, in bits",,,Word RAM,words,O((nm+n^2)L)?,,can be easily derived?,,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,General Linear Programming,,1105,,,1,1,"O(n^(max(omega, 2.5-alpha/2, 37/18))*polylog(n, m, L)), where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently O(n^2.37285956)",,,"[https://arxiv.org/abs/1810.07896 Jiang, Song, Weinstein and Zhang (2020)]","Jiang, Song, Weinstein and Zhang",2020,https://arxiv.org/abs/1810.07896,,,,,,,"$O(n^(max(omega, 2.5-alpha/2, 37/18))*polylog(n, m, L))$, where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently $O(n^2.37285956)$",,"n: number of variables
m: number of constraints
L: length of input, in bits",,,Word RAM,words,,,,,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,Numerical Analysis,,,,,,,,,,,,,,,,,,,,,,
11,Line segment intersection,1,,Counting number of intersection points / line segments,1106,,,1,1,O(n^1.695),,,[https://www.sciencedirect.com/science/article/pii/0022000086900255 CHAZELLE 1986 (1986)],CHAZELLE 1986,1986,https://www.sciencedirect.com/science/article/pii/0022000086900255,,,,,,,O(n^1.695),,"n: number of line segments
k: number of points of intersection",,,Real RAM,words,O(n),n: 3,https://www.sciencedirect.com/science/article/pii/0022000086900255,,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
11,Line segment intersection,1,,Reporting all intersection points / general polygons,1107,,,1,1,O((n+k)log n),,,[https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf NIEVERGELT. J.. AND PREPARATA (Section 2) (1982)],NIEVERGELT. J.. AND PREPARATA (Section 2),1982,https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf,,,,,,,O((n+k)log n),,"n: number of line segments
k: number of points of intersection",,,Real RAM,words,O(n+k),"n: 3,
k: 3",https://courses.cs.duke.edu/cps234/spring04/papers/NP82.pdf,,,0,,0,,0,0,,0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,1,,d-dimensional Convex Hull,1108,,,1,1,O(n^2+f_1*log(n)),,,[https://dl.acm.org/doi/pdf/10.1145/12130.12172 Seidel's Shelling Algorithm (1986)],Seidel's Shelling Algorithm,1986,https://dl.acm.org/doi/pdf/10.1145/12130.12172,,,,,,,O(n^2+f_1*log(n)),,"n: number of line segments
h: number of points on the convex hull
f_1: number of facets on the convex hull
f_2: number of subfacets on the convex hull",,,Real RAM,words,,,,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,1,,d-dimensional Convex Hull,1109,,,1,1,O(n*f_1),,,"[https://dl.acm.org/doi/pdf/10.1145/321556.321564 Chand-Kapur, Gift Wrapping (1970)]","Chand-Kapur, Gift Wrapping",1970,https://dl.acm.org/doi/pdf/10.1145/321556.321564,,,,,,,O(n*f_1),,"n: number of line segments
h: number of points on the convex hull
f_1: number of facets on the convex hull
f_2: number of subfacets on the convex hull",,,Real RAM,words,,,,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,1,,d-dimensional Convex Hull,1110,,,1,1,O(n*f(h)/h) where f(h) denotes the maximum number of facets with h vertices,,,[https://dl.acm.org/doi/pdf/10.1145/235815.235821 N-dimensional Quickhull (1996)],N-dimensional Quickhull,1996,https://dl.acm.org/doi/pdf/10.1145/235815.235821,,,,,,,O(n*f(h)/h) where f(h) denotes the maximum number of facets with h vertices,,"n: number of line segments
h: number of points on the convex hull
f_1: number of facets on the convex hull
f_2: number of subfacets on the convex hull",,,Real RAM,words,,,,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,1,,"2-dimensional Convex Hull, Online",1111,,,,,"O(logn) per operation, O(n*log(n)) total",,,"[https://dl.acm.org/doi/abs/10.1145/359131.359132 Online 2-d Convex Hull, Preparata (1979)]","Online 2-d Convex Hull, Preparata",1979,https://dl.acm.org/doi/abs/10.1145/359131.359132,,,,,,,"O(logn) per operation, O(n*log(n)) total",,"n: number of line segments
h: number of points on the convex hull",,,Real RAM,words,O(n),n: 3,easily derived,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,1,,"2-dimensional Convex Hull, Dynamic",1112,,,,,"O(log^2(n)) per operation, O(n*log^2(n)) total",,,"[https://www.sciencedirect.com/science/article/pii/002200008190012X?via%3Dihub Dynamic 2-d Convex Hull, Overmars and van Leeuwen (1980)]","Dynamic 2-d Convex Hull, Overmars and van Leeuwen",1980,https://www.sciencedirect.com/science/article/pii/002200008190012X?via%3Dihub,,,,,,,"O(log^2(n)) per operation, O(n*log^2(n)) total",,"n: number of line segments
h: number of points on the convex hull",,,Real RAM,words,,,,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
12,Convex Hull,0,,"2-dimensional Convex Hull, Dynamic",1113,,,,,,,,,(many more...),,,,,,,,,,,"n: number of line segments
h: number of points on the convex hull",,,Real RAM,words,,,,,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,,,,,,,,,,,Image Processing,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs,SCCs,1114,,,1,1,O(V+E),,,[https://www.semanticscholar.org/paper/Depth-First-Search-and-Linear-Graph-Algorithms-Tarjan/385742fffcf113656f0d3cf6c06ef95cb8439dc6 Geldenhuys-Valmari (2004)],Geldenhuys-Valmari,2004,https://www.semanticscholar.org/paper/Depth-First-Search-and-Linear-Graph-Algorithms-Tarjan/385742fffcf113656f0d3cf6c06ef95cb8439dc6,,,,,,,O(V+E),,"V: number of vertices
E: number of edges",,,Word RAM,words,O(V)?,V: 3,(follow-up from Tarjan's algorithm),,,0,,0,,0,1,,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs,SCCs,1115,,,1,1,O(V^2+E),,,[https://ieeexplore.ieee.org/abstract/document/6877288 Multistep (2014)],Multistep,2014,https://ieeexplore.ieee.org/abstract/document/6877288,,,,,,,O(V^2+E),,"V: number of vertices
E: number of edges
p: number of processors",,,Word RAM,words,O(V+E) total?,"V: 5,
E: 3",,,,0,,0,,0,0,,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,MST,"Undirected, General MST",1116,,,1,1,O(ElogV),,,[ Prim's algorithm + binary heap (-)],Prim's algorithm + binary heap,-,,,,,0,0,,O(ElogV),11,"V: number of vertices
E: number of edges
U: maximum edge weight",,,Word RAM,words,O(V) auxiliary?,V: 3,can be easily derived,,,0,,0,,0,0,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,MST,"Undirected, General MST",1117,,,1,1,"O(E*beta(E, V)) where beta(m, n) = min(i such that log^(i)(n)≤m/n); this is also O(E (log-star)V)",,,[https://dl.acm.org/citation.cfm?id=28874 Fredman & Tarjan (1987)],Fredman & Tarjan,1987,https://dl.acm.org/citation.cfm?id=28874,,,,0,0,,"O(E*beta(E, V)) where beta(m, n) = min(i such that log^(i)(n)≤m/n); this is also O(E (log-star)V)",,"V: number of vertices
E: number of edges
U: maximum edge weight",,,Word RAM,words,O(E) auxiliary?,"V: 5,
E: 3",can be easily derived,,,0,,0,,0,0,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,,"Undirected, Dense MST",1118,,,1,1,O(E),,,[https://epubs.siam.org/doi/abs/10.1137/0205051 Cheriton-Tarjan (dense) (1976)],Cheriton-Tarjan (dense),1976,https://epubs.siam.org/doi/abs/10.1137/0205051,,,,0,0,,O(E),10,"V: number of vertices
E: number of edges
U: maximum edge weight",,,Word RAM,words,O(E) auxiliary?,"V: 5,
E: 3",can be easily derived,,,0,,0,,0,0,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,,"Undirected, Planar MST",1119,,,1,1,O(V),,,[https://epubs.siam.org/doi/abs/10.1137/0205051 Cheriton-Tarjan (planar) (1976)],Cheriton-Tarjan (planar),1976,https://epubs.siam.org/doi/abs/10.1137/0205051,,,,0,0,,O(V),-,"V: number of vertices
E: number of edges
U: maximum edge weight",,,Word RAM,words,O(V) auxiliary,V: 3,can be easily derived,,,0,,0,,0,0,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,MST,"Undirected, General MST",1120,,,1,1,"O(E*log(beta(E, V)))",,,"[https://link.springer.com/article/10.1007/BF02579168 Gabow et al, Section 2 (1986)]","Gabow et al, Section 2",1986,https://link.springer.com/article/10.1007/BF02579168,,,,0,0,,"O(E*log(beta(E, V)))",,"V: number of vertices
E: number of edges
U: maximum edge weight",,,Word RAM,words,O(E) auxiliary?,"V: 5,
E: 3",,,,0,,0,,0,0,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,,,,,,,,Combinatorics,,,,,,,,,,,,,,,,,,,,,,
