 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,0.001,,,,,,,,,,,"Chien, Oruc",1994,https://ieeexplore.ieee.org/abstract/document/285603,,,,,,,,,,,,,,,,,,,,"""new model"": adaptive sorting network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Gordillo, Luna",1994,https://ieeexplore.ieee.org/abstract/document/400129,,,,,,,,O(2n-3),O(2n-3),,,O(n^2) ?,,,,n: size of list,,,,Cellular automata (CA) machine,,,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Chen, Chen",1994,https://ieeexplore.ieee.org/document/286307/citations#citations,,,,,,,,O(1),O(1),,,O(n^(3/2)),,,,n: size of list,,,,3-d reconfigurable mesh; sorting network,,,,,,,,,,,,,,,1,O(n^(3/2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Chen, Chen (generalized)",1994,https://ieeexplore.ieee.org/document/286307/citations#citations,,,,,,,,O(4^(k+1)),O(1),,,O(n^(1+1/(k-1))),,,,"n: size of list
k: mesh dimensions (k>=4)",,,,k-d reconfigurable mesh; sorting network,,,,,,,,,,,,,,,1,O(n^(1+1/(k-1))),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Gibbons, Matias, Ramachandran",1994,https://dl.acm.org/doi/abs/10.1145/181014.181382,,,,,,,,O(log^2(n)/loglog(n)),O(log^2(n)/loglog(n)),,,O(n log n),,https://dl.acm.org/doi/abs/10.1145/181014.181382,mentions improvement over EREW PRAM model algos,n: size of list,,,,queue-read queue write (QRQW) PRAM [CRCW PRAM but with additional cost in proportion to number of readers/writers to location],,,,,,,,,,1,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Gibbons, Matias, Ramachandran",1994,https://dl.acm.org/doi/abs/10.1145/181014.181382,,,,,,,,O(log n),O(log n),,,O(n log n),,https://dl.acm.org/doi/abs/10.1145/181014.181382,mentions improvement over EREW PRAM model algos,n: size of list,,,,CRQW PRAM,,,,,,,,,,1,,,,,1,O(n) ?,,,,,,claims to improve space bound to O(n) over CREW PRAM model algos,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Gibbons, Matias, Ramachandran",1994,https://dl.acm.org/doi/abs/10.1145/181014.181382,,,,,,,,O(log n),O(log n),,,O(n log n),,https://dl.acm.org/doi/abs/10.1145/181014.181382,mentions improvement over EREW PRAM model algos,n: size of list,,,,QRQW ASYNCRONOUS PRAM,,,,,,,,,,1,,,,,1,O(n) ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Nikolopoulos, Danielopoulos",1994,https://www.sciencedirect.com/science/article/pii/0165607494900124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Gu, Gu",1994,https://ieeexplore.ieee.org/abstract/document/277787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,Han and Shen,1995,https://link.springer.com/chapter/10.1007/BFb0030847,,,,,,,,"O(n log log min(m,n)/p + log n)",O(log n),,,"O(n min(log log n, log log m/log n))",,https://link.springer.com/chapter/10.1007/BFb0030847,yes,"n: size of list
p: number of processors
0<=ints<=m-1",,,,CRCW PRAM; arbitrary CRCW PRAM,131,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Bast, Hagerup",1995,https://www.infona.pl/resource/bwmeta1.element.elsevier-27dbeebf-1d67-3c08-a222-c630ae81af5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Das, Sinha",1995,https://ieeexplore.ieee.org/abstract/document/395908,,,,,,,,3n^(1/3) log(n^(1/3))+14n^(1/3)+O(n^(1/3)),3n^(1/3) log(n^(1/3))+14n^(1/3)+O(n^(1/3)),,,3n^(4/3) log(n^(1/3))+14n^(4/3)+O(n^(4/3)),,,,n: size of list,,,,"Multi-Mesh network, SIMD",,,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-comparison (integer) sorting,,,,,,,,,,"Andersson, Hagerup, Nilsson, Raman (1)",1995,https://dl.acm.org/doi/pdf/10.1145/225058.225173,,,,,,,,O(log n),O(log n),,,O(n loglog n),,,,"n: number of integers in range 0...2^w-1
w: word length in bits (w>=log n)",,,,CRCW PRAM,130,,,,,,,,,,,,,,1,O(n log n /loglog n) ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-comparison (integer) sorting,,,,,,,,,,"Andersson, Hagerup, Nilsson, Raman (2)",1995,https://dl.acm.org/doi/pdf/10.1145/225058.225173,,,,,,,,O(log n) expected,O(log n) expected,,,O(n) expected,,,,"n: number of integers in range 0...2^w-1
w: word length in bits (w>=(log n)^(2+epsilon))
for a fixed epsilon>0",,,,EREW PRAM,110,,,,,,,,,1,,,,,1,O(n/log n) ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"MM-sort - Zhang, Zheng",1995,https://ieeexplore.ieee.org/abstract/document/530744?casa_token=fWv_XUrk-IsAAAAA:VrU2_Uiu4y99b7ZD6KtQPQ4JDX6-zWPqwFlrtWs8pl3FDAd4YtsmHuOi4MQC9bURA7xhuf9g5g,,,,,,,,O(n/p log p),O(log n),,,O(n log p),,,,"n: size of list
p: number of local queues // number of processors equivalent",,,,fixed-size sorting network (inner sorter),,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Louri, Hatch, Na",1995,https://opg.optica.org/ao/fulltext.cfm?uri=ao-34-17-3087&id=45402,,,,,,,,O(1),,,,,,,,n: size of list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Jang, Prasanna",1995,https://www.sciencedirect.com/science/article/abs/pii/S0743731585710271,,,,,,,,O(1),O(1),,,O(n^2),,,,n: size of list,,,,sorting network (reconfigurable mesh),,,,,,,,,,,,,,,1,n^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"(padded sorting) Goldberg, Zwick",1995,https://ieeexplore.ieee.org/abstract/document/377028,,,,,,,,O(log n/(log k) loglog^3(k) 2^(O(log*n-log*k)),O(loglog^3(n)) ? (if k=n) ?,,,O(kn log n/(log k) loglog^3(k) 2^(O(log*n-log*k)),,,,n: size of list,,,,COMMON CRCW PRAM,132,,,,,,,,,,,,,,1,kn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Tridgell, Brent",1995,https://www.worldscientific.com/doi/abs/10.1142/S0129053395000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Zhang, Zheng",1995,https://ieeexplore.ieee.org/abstract/document/530744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Min,1995,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE09537281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison sorting,,,,,,,,,,Goodrich,1996,https://dl.acm.org/doi/pdf/10.1145/237814.237870,,,,,,,,O(n log(n)/p + (L+gn/p)(log(n)/(log(n/p))),O(log n) ?,,,O(n log(n) + (Lp+gn)(log(n)/(log(n/p))),,,yes ,"n: size of list
p: number of processors
g: time “gap” between consecutive messages received by a
processor in a communication round
L: worst-case time needed to send one processor-to-processor message (network latency)",,,,"Bulk-Synchronous Parallel (BSP)
[has section on comp model]",400,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Goodrich, Kosaraju (1)",1996,https://dl.acm.org/doi/abs/10.1145/226643.226670,,,,,,,,O(log n),O(log n),,,O(n log n),,,,n: size of list,,,,CREW Parallel Pointer Machine (PPM),,,,,,,,,,,,,,,1,O(n),,,,O(n) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Goodrich, Kosaraju (2) (modified from CREW to EREW)",1996,https://dl.acm.org/doi/abs/10.1145/226643.226670,,,,,,,,O(log n),O(log n),,,O(n log n),,,,n: size of list,,,,EREW PPM,,,,,,,,,,,,,,,1,O(n),,,,O(n) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Gerbessiotis, Siniolakis",1996,https://dl.acm.org/doi/pdf/10.1145/237502.237561,,,,,,,,(1+floor(e(1-e)^(-1))(e/2) +o(1))(T_seq/p) computation + O(gT_seq/(p log n)) communication = O(n log n/p) computation + O(g n/p) communication ?,O(log n)  computation + O(g) communication ?,,,O(n log n) computation + O(gn) communication,,,yes,"n: size of list
p: number of processors
0<e<1
g: ratio of the total throughput of the system
T_seq: time required by sequential computation",,,,BSP,400,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Olariu, Schwing",1996,https://www.sciencedirect.com/science/article/abs/pii/S0743731596900155,,,,,,,,O(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Jianxian,1996,https://link.springer.com/article/10.1007/BF02900871,,,,,,,,O(n log n/p) + O(n),O(n),,,O(n log n),,,,"n: size of list
p: number of processors",,,,sorting network (hypercube),,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"JaJa, Ryu, Vishkin (1)",1996,https://www.sciencedirect.com/science/article/pii/0304397594002630,,,,,,,,O(log^2 n/loglog n),O(log^2 n/loglog n),,,O(n log n +m),,https://www.sciencedirect.com/science/article/pii/0304397594002630,,"n: size of list of strings
m: number of symbols in the alphabet",,,,COMMON CRCW PRAM,132,,,,,,,,,,,,,,1,O(n loglog n /log n) ??,,,,O(nlog n +m) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"JaJa, Ryu, Vishkin (2)",1996,https://www.sciencedirect.com/science/article/pii/0304397594002630,,,,,,,,O(log n),O(log n),,,O(n log n +m),,https://www.sciencedirect.com/science/article/pii/0304397594002630,,"n: size of list of strings
m: number of symbols in the alphabet",,,,COMMON CRCW PRAM,132,,,,,,,,,,,,,,1,O(n) ??,,,,O(nlog n +m) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Helman, JaJa, Bader",1996,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1ff21105c4a94c83e227dd52fd1aca13091f14af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Folwell, Guha, Suzuki",1996,https://www.tandfonline.com/doi/abs/10.1080/01495739708941425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Shear-sort - De et al.,1997,https://ieeexplore.ieee.org/abstract/document/628397,58,,https://ieeexplore.ieee.org/abstract/document/628397,,,,,O(n^(1/4)),O(n^(1/4)),,,,,,,,,,,SIMD,,,,,,,,,,,,,,,1,sqrt(n) ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (1)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,"O(t)
t>=log n loglog n",O(log n loglog n),,,O(n sqrt(log n loglog n) + n log^2(n)/t),,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
t>=log n loglog n
0<=ints<=n",,,,EREW PRAM,110,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (2)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,"O(t)
t>=log n",O(log n),,,O(n sqrt(log n) + n log n/2^(t/log n)),,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
0<=ints<=n
t>=log n",,,,CREW PRAM,120,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (3)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,O(log^2(n)),O(log^2(n)),,,O(n),,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
0<=ints<=m",,,,"EREW PRAM
(nonstandard  word length of O(log n loglog n log m) bits",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Jang, Kim",1997,https://ieeexplore.ieee.org/abstract/document/651519,,,,,,,,O(4^k),O(4^k),,,O(4^k n^(k+1)),,,,n^k: size of list,,,,sorting network,,,,,,,,,,,,,,,1,n^(k+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Gao, Liu",1997,https://link.springer.com/article/10.1007/BF02916597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,randomized,,,,,,,,,,"variation of sample sort - Helman, Bader, JaJa",1998,https://www.sciencedirect.com/science/article/abs/pii/S0743731598914629; https://api.drum.lib.umd.edu/server/api/core/bitstreams/2997ecff-e9a8-4d9f-8b87-b3706834bd51/content,,,,,,,,"O(n/p log(n)) ?
""with high probability""",O(tau) ? might be a constant?,,,O(nlog(n)),,,lots of experimental data,"n: size of list
p: number of processors
p^2<n/(3ln(n))",,,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Helman, Bader, JaJa",1998,https://dl.acm.org/doi/abs/10.1145/297096.297128,,,,,,,,O(n/p log(n/p) + tau +n/p sigma) for n>p^3 and p<=s<=n/p^3 WHP,,,,,,,,"n: size of list
p: number of processors
s: number of samples",,,,sorting network ?? Communication network,,,,,,,,,,,,,,,1,p,,,,,,lots of experimental evaluation,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Load Balanced Parallel Radix Sort - Sohn, Kodama",1998,https://dl.acm.org/doi/pdf/10.1145/277830.277903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Libeskin-Hadas,1998,https://www.tandfonline.com/doi/abs/10.1080/00029890.1998.12004873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Fix, Ladner",1998,https://ieeexplore.ieee.org/abstract/document/736441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"ZZ-sort - Zheng, Calidas, Zhang",1999,https://link.springer.com/article/10.1023/A:1008173729055,,,,,,,,O(n/p log p (f(p)+log(n/p)),O(log n f(n)),,,O(n log p (f(p)+log(n/p)),,,,"n: size of list
p: number of processors
n>=p
f(p): time to sort p elements, one per processor",,,,"""distributed memory parallel computer""",700,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Zhang, Zheng",1999,https://downloads.hindawi.com/archive/2000/014617.pdf,,,,,,,,O(n/p log p),O(log n),,,O(n log p),,,,"n: size of list
p: number of queues =number of processors",,,,(fixed-size) sorting network,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Davis, Bennet, Wren, Davis",1999,https://link.springer.com/chapter/10.1007/BFb0098017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-comparison sorting,,,,,,,,,,"partitioned parallel radix (PPR) sort - Lee, Jeon, Sohn, Kim",2000,https://link.springer.com/chapter/10.1007/3-540-39999-2_14 (page 176 of pdf),,,,,,,,ceilling(b/g) rounds,,,,ceilling(b/g)*p + communication,,,,"n: size of list
p: number of processors
b: number of bits in integer keys
g: group of bits used each round",,,,distributed-memory multiprocessors,700,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Olarlu, Pinotti, Zheng",2000,https://ieeexplore.ieee.org/abstract/document/895849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Sinkha, Mukherjee",2000,https://www.sciencedirect.com/science/article/abs/pii/S0743731500916368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-comparison (integer) sorting,,,,,,,,,,Han,2001,https://www.sciencedirect.com/science/article/pii/S0890540101930536,,,,,,,,O(log^2(n)),O(log^2(n)),,,O(n(log log n)^2/log log log n),,https://www.sciencedirect.com/science/article/pii/S0890540101930536,,"n: number of integers in range {1...m-1}
m=Omega(log^2(n))",,,,EREW PRAM,110,,,,,,,,,,,,,,1,O(n(log log n)^2/(log^2(n) log log log n)) ??,,,,,,O(n) space,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Gerbessiotis, Siniolakis",2001,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a867d950e57eacf0da9dd17cc80073f124d438ce,,,,,,,,,,,,,,,,"n: number of ints in range [0,...R-1]
p: number of processors
r=ceilling(lg R/ lg max{ceilling(n/p), t ceilling(log_t p)})
t: int; 2<=t<=p",,,,BSP,400,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Cerin,2002,https://ieeexplore.ieee.org/abstract/document/1015576,,,,,,,,,,,,,,,,,,,,"""parallel disk model (PDM)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (integer) sorting,,,,,,,,,,"Han, Shen",2002,https://epubs.siam.org/doi/abs/10.1137/S0097539799352449,,,,,,,,O(log n),O(log n),,,O(n sqrt((log n)/k)),,,,"n: number of ints in range {0,..,m-1}
word length=k log (m+n), 1<=k<l=log n",,,,EREW PRAM,110,,,,,,,,,,,,,,1,O(n sqrt(1/k log n)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Canturk,2002,https://www.proquest.com/docview/2665127548?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(n/p log(np)+tau+sigma n/p),O(log(n^2)) ?,,,O(n log(np)) ?,,,,"n: size of list
p: number of processors",,,,MIMD,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Mateescu,2002,https://ieeexplore.ieee.org/abstract/document/1019143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"load balanced parallel merge sort - Jeon, Kim",2003,https://link.springer.com/article/10.1023/A:1021734202931,,,,,,,,k_1 n/p log p + k_2 (n/p + delta) log p,O(log n),,,k_1 n log p + k_2 (n + p delta) log p,,,,"n: size of list
p: number of processors
k_1: average time to transmit one key
k_2: average time per key to merge keys
delta: load imbalance / number of keys over n/p that a processor has to merge",,,,PRAM ?,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Chen, Levcopoulos",2005,https://link.springer.com/chapter/10.1007/3-540-55895-0_452,,,,,,,,O(log n),O(log n),,,O(n log n),,https://link.springer.com/chapter/10.1007/3-540-55895-0_452,"yes, optimal in respect to Osc","n: size of list
Osc(x): number of oscillations in sequence x (the list)",,,,arbitrary CRCW PRAM,131,,,,,,,,,,,,,,1,O(n/log(n) log(Osc(x)/n)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Arefin, Hasan",2005,https://d1wqtxts1xzle7.cloudfront.net/62387187/497-263-libre.pdf?1584493306=&response-content-disposition=inline%3B+filename%3DAn_improvement_of_bitonic_sorting_for_pa.pdf&Expires=1697227017&Signature=Vvn~Pm~bDEr3CtevY~6HvLW1kn~GklUkg3rgPQKGUNQMiu4TQwovBAIX0OXYjLw21v6TeP~6iilbkYwXqjRgprdZsAlri7qQQJU-blV2-cPKxuwz5GFugIMqCJBz-riYUhrWpWh9Ot7E~oQNp8TM5zIi3zMN-AEJ8pGYx-3uwa1WYQEGHMn-KaD9k0DyFUF2GzzZo190xonEh01XK2nj4tZFK-QFy7DiZ3Nk1OhR5QrzYMCqHHN9hxvxZmP11YJI192Kfu8yLPio6JUfNLteY0ZZqkRY-ahx8qR7GYPlmx8IVAF--pis86dqeg6MsX5YyZK3PoqT01INvoQi1SjplA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Cheng, Shah, Gilbert, Edelman",2007,https://sites.cs.ucsb.edu/~gilbert/cs140resources/old/cs140Win2011/slides/ViralParallelSort.pdf,,,,,,,,"O(n log n /p + gn/p +log n max(L,gp^2 log(n))","O(log n max(L,gp^2 log(n)) ?",,,"O(n log n + gn +log n max(Lp,gp^3 log(n))",,,yes,"n: size of list
p: number of processors
L: minimum amount of time between subsequent rounds of communication
g: measure of bandwidth in time per message size",,,,BSP,400,,,,,,,,,,,,,,1,p,,,,Space complexity: O(p^2 +n/p),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"partition and concurrent merging (PCM) - Herruzo, Ruiz, Benavides, Plata",2007,https://ieeexplore.ieee.org/abstract/document/4135254,,,,,,,,O(n/p log (n/p)) + O(n),O(n),,,O(n log (n/p) +np),,,yes,"n: size of list
p: number of processors",,,,sorting network ?,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Aligned-access sort (AA-sort) - Inoue, Moriyama, Komatsu, Nakatani",2007,https://ieeexplore.ieee.org/abstract/document/4336211,,,,,,,,O(n log n /k),O(log n),,,O(n log n),,https://ieeexplore.ieee.org/abstract/document/4336211,,"n: size of list
b: number of blocks (constant)
k: number of parallel threads (=processors?)
k<=n/b",,,,SIMD,,,,,,,,,,,,,,,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Damrudi, Aval",2007,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7a87c4f687886a0812dfdacc9660c00780065b02,,,,,,,,O(sqrt(n/4)),O(sqrt(n/4)),,,O(n/4 sqrt(n/4)),,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7a87c4f687886a0812dfdacc9660c00780065b02,,n: size of list,,,,for ILLIAC architecture; processor array; EREW PRAM ?,,,,,,,,,,,,,,,1,n/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Herruzo, Ruiz, Benavides, Plata",2007,https://ieeexplore.ieee.org/abstract/document/4135254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Wei, Xiao, Zhang",2008,https://ieeexplore.ieee.org/abstract/document/4529859,,,,,,,,sqrt(2n) + O(n^(3/4)),sqrt(2n) + O(n^(3/4)),,,(sqrt(2n) + O(n^(3/4)))n,,,,n: size of list,,,,Biswapped Network (BSN); BSN-mesh,,,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Hongwei, Yafeng",2008,https://ieeexplore.ieee.org/abstract/document/4736981,,,,,,,,log^2(n) + log n,log^2(n) + log n,,,(log^2(n) + log n)^2 n/4 ??,,,,n: size of list,,,,sorting network,,,,,,,,,,,,,,,1,(log^2(n) + log n)n/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
